X,Y,OBJECTID,TRAPTYPE,ATTRACTANTSUSED,TRAPID,LATITUDE,LONGITUDE,ADDRESS,TOWN,STATE,COUNTY,TRAPSITE,TRAPSET,SETTIMEOFDAY,TRAPCOLLECT,COLLECTTIMEOFDAY,GENUS,SPECIES,LIFESTAGE,EGGSCOLLECTED,LARVAECOLLECTED,PUPAECOLLECTED,FEMALESCOLLECTED,MALESCOLLECTED,UNKNOWNCOLLECTED,REPORTDATE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8570034.414,4702301.206,1895,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/07/31 04:00:00+00,Afternoon,2018/08/01 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,9,2,0,2018/08/31 15:09:00+00,temp_1487,{870ADE45-C2E2-44B8-BE5C-38B36382D93E},,,,
-8570034.414,4702301.206,1896,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/30 04:00:00+00,Morning,2017/08/31 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2017/09/11 21:39:00+00,temp_70,{8A74CDCC-6F6F-4800-B921-20245346C4F0},,,,
-8570034.414,4702301.206,1897,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/23 04:00:00+00,Morning,2017/08/24 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,0,0,2017/09/11 20:26:00+00,temp_40,{A4383103-BE4E-4F1A-B155-98B7A524AE42},,,,
-8570034.414,4702301.206,1898,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/08/09 04:00:00+00,Morning,2017/08/10 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,19,0,0,2017/09/26 14:20:00+00,temp_390,{A658156F-502B-4206-8383-B24C34B57045},,,,
-8570034.414,4702301.206,1899,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/09/13 04:00:00+00,Morning,2017/09/14 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,11,0,0,2017/09/18 21:17:00+00,temp_253,{7856310F-28CB-4B44-960F-8C918DC2C7BE},,,,
-8570034.414,4702301.206,1900,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/05/31 04:00:00+00,Morning,2017/06/01 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,3,0,0,2017/09/18 21:59:00+00,temp_295,{8255A022-2FFE-4A02-AF98-48949369059F},,,,
-8570034.414,4702301.206,1901,Gravid Trap,Lure and grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/06/28 04:00:00+00,Morning,2017/06/29 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,5,4,0,2017/09/19 21:13:00+00,temp_566,{67EDF281-F916-4C91-A34D-63E7087B36AF},,,,
-8570034.414,4702301.206,1902,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/05/10 04:00:00+00,Morning,2017/05/11 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,21,0,0,2017/09/12 19:09:00+00,temp_118,{32BD7A48-9846-47C9-8F39-13E05F48E02C},,,,
-8570034.414,4702301.206,1903,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/09 04:00:00+00,Afternoon,2018/10/10 04:00:00+00,Afternoon,Aedes,albopictus,Adult,No,No,No,2,0,0,2018/10/12 13:59:00+00,temp_989,{1F473F1F-A9ED-481A-9274-99B9B4884500},,,,
-8570034.414,4702301.206,1904,ABC Trap,CO2 with light,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2017/05/24 04:00:00+00,Morning,2017/05/25 04:00:00+00,Afternoon,Culex,pipiens,Adult,No,No,No,2,0,0,2017/09/12 18:47:00+00,temp_669,{CF3E6929-5CF8-4AF3-BF16-AC6DB79E00BB},,,,
-8570034.414,4702301.206,1905,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/07/10 04:00:00+00,Morning,2018/07/11 04:00:00+00,Morning,Culex,pipiens,Adult,No,No,No,49,0,0,2018/08/24 17:46:00+00,temp_1096,{0ABAAB1F-344C-4172-A78B-21B75C0AABB3},,,,
-8570034.414,4702301.206,1906,Gravid Trap,Hay or grass infusion,8A,38.864642,-76.985929,2105 14th St. SE,Washington,DC,District of Columbia,Fire Department,2018/10/09 04:00:00+00,Afternoon,2018/10/10 04:00:00+00,Afternoon,Aedes,sp.,Adult,No,No,No,3,7,0,2018/10/12 14:00:00+00,temp_990,{32EE860E-3A61-405B-8784-6290D4B89311},,,,
